DataSource,RecordType,ReferenceYear,Location_State_UT,Location_Region,Location_District,Location_Block_Mandal_Taluk_Valley_Unit,Category,Parameter,Value_Numeric,Value_Text,Unit
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2009,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Percentage,9.0,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2011,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Number of Units,697.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2011,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Percentage,10.5,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2013,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Number of Units,681.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2013,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Percentage,10.3,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2017,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Number of Units,972.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2017,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Percentage,14.1,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2020,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Number of Units,1057.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2020,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Percentage,15.2,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2022,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Number of Units,885.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2022,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Percentage,12.5,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2023,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Number of Units,698.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2023,India,NotAvailable,NotAvailable,NotAvailable,Semi-critical,Percentage,10.7,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2004,India,NotAvailable,NotAvailable,NotAvailable,Critical,Number of Units,226.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2004,India,NotAvailable,NotAvailable,NotAvailable,Critical,Percentage,3.9,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2009,India,NotAvailable,NotAvailable,NotAvailable,Critical,Number of Units,169.0,NotAvailable,Count
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2009,India,NotAvailable,NotAvailable,NotAvailable,Critical,Percentage,2.9,NotAvailable,%
NCDGWR2023.pdf,Historical_AssessmentUnit_Categorization,2011,India,NotAvailable,NotAvailable,NotAvailable,Critical,Number of Units,217.0,NotAvailable,Count
